STRUCTURE,STRUCTURE_ID,freq,unit,facility,icha_hp,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,AT,1996,71062.65,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,AT,1997,65311.81,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,AT,1998,63307.85,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,AT,1999,62440.03,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,AT,2000,61156.99,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,AT,2001,60468.37,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,AT,2002,59426.15,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,AT,2003,59280.46,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,AT,2004,53762.93,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,AT,2005,52406.55,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,AT,2006,51679.01,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,AT,2007,51524.76,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,AT,2008,52336.45,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,AT,2009,53482.84,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,AT,2010,51625.95,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,AT,2011,52777.63,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,AT,2012,52360.19,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,AT,2013,53332.22,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,AT,2014,53750.67,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,AT,2015,55049.04,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,AT,2016,55647.57,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,AT,2017,57127.05,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,AT,2018,56309.05,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,AT,2019,56202.02,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,AT,2020,56795.31,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,AT,2021,57043.29,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,BE,2003,96973.20,d
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,BE,2004,91413.48,d
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,BE,2005,79989.44,d
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,BE,2006,83054.79,d
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,BE,2007,79296.27,d
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,BE,2008,74894.92,d
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,BE,2009,73948.58,d
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,BE,2010,75835.22,d
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,BE,2011,76654.61,d
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,BE,2012,69854.92,d
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,BE,2013,44997.61,b
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,BE,2014,47496.00,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,BE,2015,43698.43,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,BE,2016,43249.70,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,BE,2017,43416.63,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,BE,2018,43284.30,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,BE,2019,42709.96,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,BE,2020,42894.44,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,BE,2021,42131.62,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,BE,2022,40199.39,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,BG,2000,215004.53,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,BG,2001,205362.60,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,BG,2002,186599.06,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,BG,2003,146704.27,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,BG,2004,124465.48,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,BG,2005,112631.94,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,BG,2006,100013.45,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,BG,2007,82915.80,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,BG,2008,68114.19,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,BG,2009,53174.59,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,BG,2010,49634.89,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,BG,2011,47408.56,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,BG,2012,44548.10,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,BG,2013,42988.84,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,BG,2014,40132.99,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,BG,2015,40553.62,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,BG,2016,39380.23,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,BG,2017,37839.29,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,BG,2018,35842.02,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,BG,2019,34028.10,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,BG,2020,33019.12,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,BG,2021,31989.50,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,CH,2010,43488.72,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,CH,2011,41644.20,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,CH,2012,39009.08,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,CH,2013,41697.66,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,CH,2014,40739.54,
dataflow,ESTAT:HLTH_RS_MEDIM(1.0),A,HAB_P,CT_SCAN,HP1,CH,2015,41205.95,
