STRUCTURE,STRUCTURE_ID,freq,sex,age,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AC5B(1.0),A,F,Y15-34,PC_EMP_PREEMP_M12,A,AT,2013,,u
dataflow,ESTAT:HSW_AC5B(1.0),A,F,Y15-34,PC_EMP_PREEMP_M12,A,AT,2020,,u
dataflow,ESTAT:HSW_AC5B(1.0),A,F,Y15-34,PC_EMP_PREEMP_M12,A,BE,2013,,u
dataflow,ESTAT:HSW_AC5B(1.0),A,F,Y15-34,PC_EMP_PREEMP_M12,A,BE,2020,,u
dataflow,ESTAT:HSW_AC5B(1.0),A,F,Y15-34,PC_EMP_PREEMP_M12,A,BG,2013,,u
dataflow,ESTAT:HSW_AC5B(1.0),A,F,Y15-34,PC_EMP_PREEMP_M12,A,BG,2020,,u
dataflow,ESTAT:HSW_AC5B(1.0),A,F,Y15-34,PC_EMP_PREEMP_M12,A,CH,2013,9.2,u
dataflow,ESTAT:HSW_AC5B(1.0),A,F,Y15-34,PC_EMP_PREEMP_M12,A,CH,2020,29.4,u
dataflow,ESTAT:HSW_AC5B(1.0),A,F,Y15-34,PC_EMP_PREEMP_M12,A,CY,2013,,c
dataflow,ESTAT:HSW_AC5B(1.0),A,F,Y15-34,PC_EMP_PREEMP_M12,A,CY,2020,,c
dataflow,ESTAT:HSW_AC5B(1.0),A,F,Y15-34,PC_EMP_PREEMP_M12,A,CZ,2013,,u
dataflow,ESTAT:HSW_AC5B(1.0),A,F,Y15-34,PC_EMP_PREEMP_M12,A,CZ,2020,,u
dataflow,ESTAT:HSW_AC5B(1.0),A,F,Y15-34,PC_EMP_PREEMP_M12,A,DE,2013,,u
dataflow,ESTAT:HSW_AC5B(1.0),A,F,Y15-34,PC_EMP_PREEMP_M12,A,DE,2020,,u
dataflow,ESTAT:HSW_AC5B(1.0),A,F,Y15-34,PC_EMP_PREEMP_M12,A,DK,2013,,u
dataflow,ESTAT:HSW_AC5B(1.0),A,F,Y15-34,PC_EMP_PREEMP_M12,A,DK,2020,,u
dataflow,ESTAT:HSW_AC5B(1.0),A,F,Y15-34,PC_EMP_PREEMP_M12,A,EA19,2013,,u
dataflow,ESTAT:HSW_AC5B(1.0),A,F,Y15-34,PC_EMP_PREEMP_M12,A,EA19,2020,,u
dataflow,ESTAT:HSW_AC5B(1.0),A,F,Y15-34,PC_EMP_PREEMP_M12,A,EE,2013,,u
dataflow,ESTAT:HSW_AC5B(1.0),A,F,Y15-34,PC_EMP_PREEMP_M12,A,EE,2020,,u
dataflow,ESTAT:HSW_AC5B(1.0),A,F,Y15-34,PC_EMP_PREEMP_M12,A,EL,2013,,u
dataflow,ESTAT:HSW_AC5B(1.0),A,F,Y15-34,PC_EMP_PREEMP_M12,A,EL,2020,,u
dataflow,ESTAT:HSW_AC5B(1.0),A,F,Y15-34,PC_EMP_PREEMP_M12,A,ES,2013,,u
dataflow,ESTAT:HSW_AC5B(1.0),A,F,Y15-34,PC_EMP_PREEMP_M12,A,ES,2020,,u
dataflow,ESTAT:HSW_AC5B(1.0),A,F,Y15-34,PC_EMP_PREEMP_M12,A,EU27_2020,2013,,u
dataflow,ESTAT:HSW_AC5B(1.0),A,F,Y15-34,PC_EMP_PREEMP_M12,A,EU27_2020,2020,,u
dataflow,ESTAT:HSW_AC5B(1.0),A,F,Y15-34,PC_EMP_PREEMP_M12,A,EU28,2013,,u
dataflow,ESTAT:HSW_AC5B(1.0),A,F,Y15-34,PC_EMP_PREEMP_M12,A,FI,2013,,u
dataflow,ESTAT:HSW_AC5B(1.0),A,F,Y15-34,PC_EMP_PREEMP_M12,A,FI,2020,,u
dataflow,ESTAT:HSW_AC5B(1.0),A,F,Y15-34,PC_EMP_PREEMP_M12,A,FR,2013,,u
dataflow,ESTAT:HSW_AC5B(1.0),A,F,Y15-34,PC_EMP_PREEMP_M12,A,FR,2020,,u
dataflow,ESTAT:HSW_AC5B(1.0),A,F,Y15-34,PC_EMP_PREEMP_M12,A,HR,2013,,u
dataflow,ESTAT:HSW_AC5B(1.0),A,F,Y15-34,PC_EMP_PREEMP_M12,A,HR,2020,,u
dataflow,ESTAT:HSW_AC5B(1.0),A,F,Y15-34,PC_EMP_PREEMP_M12,A,HU,2013,,u
dataflow,ESTAT:HSW_AC5B(1.0),A,F,Y15-34,PC_EMP_PREEMP_M12,A,HU,2020,,u
dataflow,ESTAT:HSW_AC5B(1.0),A,F,Y15-34,PC_EMP_PREEMP_M12,A,IE,2013,,u
dataflow,ESTAT:HSW_AC5B(1.0),A,F,Y15-34,PC_EMP_PREEMP_M12,A,IE,2020,,u
