STRUCTURE,STRUCTURE_ID,freq,unit,frequenc,sex,age,bmi,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI18P5-24,AT,2019,12.4,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI18P5-24,BE,2019,16.5,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI18P5-24,BG,2019,26.8,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI18P5-24,CY,2019,27.0,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI18P5-24,CZ,2019,16.8,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI18P5-24,DE,2019,16.8,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI18P5-24,DK,2019,17.1,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI18P5-24,EE,2019,10.4,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI18P5-24,EL,2019,24.0,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI18P5-24,ES,2019,20.1,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI18P5-24,EU27_2020,2019,16.7,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI18P5-24,FI,2019,10.0,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI18P5-24,FR,2019,12.7,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI18P5-24,HR,2019,16.0,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI18P5-24,HU,2019,16.3,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI18P5-24,IE,2019,11.3,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI18P5-24,IS,2019,17.0,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI18P5-24,IT,2019,13.4,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI18P5-24,LT,2019,14.8,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI18P5-24,LU,2019,10.8,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI18P5-24,LV,2019,13.7,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI18P5-24,MT,2019,10.7,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI18P5-24,NO,2019,12.0,
dataflow,ESTAT:HLTH_EHIS_FV7M(1.0),A,PC,1-3W,F,TOTAL,BMI18P5-24,PL,2019,19.8,
