STRUCTURE,STRUCTURE_ID,freq,unit,sex,n_hprob,diagnose,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,1,CARDIO_V,EU_V,1999,45958,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,1,HEAD_EYE,EU_V,1999,71142,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,1,HEARING,EU_V,1999,19025,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,1,INFECTIO,EU_V,1999,48982,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,1,MUSC_SKE,EU_V,1999,1053827,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,1,OTHER,EU_V,1999,107287,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,1,PULMONAR,EU_V,1999,113536,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,1,SKIN_DIS,EU_V,1999,53507,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,1,STRESS,EU_V,1999,380653,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,1,TOTAL,EU_V,1999,2376753,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,1,UNK,EU_V,1999,482835,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,2,CARDIO_V,EU_V,1999,8740,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,2,HEAD_EYE,EU_V,1999,6608,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,2,HEARING,EU_V,1999,2283,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,2,INFECTIO,EU_V,1999,6992,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,2,MUSC_SKE,EU_V,1999,101535,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,2,OTHER,EU_V,1999,8560,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,2,PULMONAR,EU_V,1999,18618,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,2,SKIN_DIS,EU_V,1999,2691,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,2,STRESS,EU_V,1999,39493,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,2,TOTAL,EU_V,1999,209475,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,2,UNK,EU_V,1999,13955,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,3,CARDIO_V,EU_V,1999,1714,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,3,HEAD_EYE,EU_V,1999,2339,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,3,HEARING,EU_V,1999,0,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,3,INFECTIO,EU_V,1999,2823,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,3,MUSC_SKE,EU_V,1999,20871,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,3,OTHER,EU_V,1999,3454,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,3,PULMONAR,EU_V,1999,7664,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,3,SKIN_DIS,EU_V,1999,496,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,3,STRESS,EU_V,1999,9343,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,3,TOTAL,EU_V,1999,53409,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,3,UNK,EU_V,1999,4706,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,4,CARDIO_V,EU_V,1999,661,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,4,HEAD_EYE,EU_V,1999,1133,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,4,HEARING,EU_V,1999,506,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,4,INFECTIO,EU_V,1999,1715,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,4,MUSC_SKE,EU_V,1999,6742,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,4,OTHER,EU_V,1999,774,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,4,PULMONAR,EU_V,1999,3039,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,4,SKIN_DIS,EU_V,1999,884,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,4,STRESS,EU_V,1999,4628,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,4,TOTAL,EU_V,1999,20111,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,4,UNK,EU_V,1999,30,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,GE5,CARDIO_V,EU_V,1999,777,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,GE5,HEAD_EYE,EU_V,1999,4518,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,GE5,HEARING,EU_V,1999,0,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,GE5,INFECTIO,EU_V,1999,632,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,GE5,MUSC_SKE,EU_V,1999,13051,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,GE5,OTHER,EU_V,1999,2158,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,GE5,PULMONAR,EU_V,1999,773,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,GE5,SKIN_DIS,EU_V,1999,697,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,GE5,STRESS,EU_V,1999,6580,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,GE5,TOTAL,EU_V,1999,72307,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,GE5,UNK,EU_V,1999,43121,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,TOTAL,CARDIO_V,EU_V,1999,57850,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,TOTAL,HEAD_EYE,EU_V,1999,85740,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,TOTAL,HEARING,EU_V,1999,21814,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,TOTAL,INFECTIO,EU_V,1999,61143,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,TOTAL,MUSC_SKE,EU_V,1999,1196027,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,TOTAL,OTHER,EU_V,1999,122232,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,TOTAL,PULMONAR,EU_V,1999,143630,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,TOTAL,SKIN_DIS,EU_V,1999,58275,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,TOTAL,STRESS,EU_V,1999,440697,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,TOTAL,TOTAL,EU_V,1999,2732055,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,F,TOTAL,UNK,EU_V,1999,544647,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,1,CARDIO_V,EU_V,1999,115084,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,1,HEAD_EYE,EU_V,1999,58183,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,1,HEARING,EU_V,1999,95563,
dataflow,ESTAT:HSW_HP_DISNU(1.0),A,NR,M,1,INFECTIO,EU_V,1999,49030,
