STRUCTURE,STRUCTURE_ID,freq,unit,hlth_pb,quant_inc,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_MH1I(1.0),A,PC,DPR,QU1,F,TOTAL,AT,2014,8.2,
dataflow,ESTAT:HLTH_EHIS_MH1I(1.0),A,PC,DPR,QU1,F,TOTAL,AT,2019,11.5,
dataflow,ESTAT:HLTH_EHIS_MH1I(1.0),A,PC,DPR,QU1,F,TOTAL,BE,2019,14.7,u
dataflow,ESTAT:HLTH_EHIS_MH1I(1.0),A,PC,DPR,QU1,F,TOTAL,BG,2014,14.3,
dataflow,ESTAT:HLTH_EHIS_MH1I(1.0),A,PC,DPR,QU1,F,TOTAL,BG,2019,11.2,
dataflow,ESTAT:HLTH_EHIS_MH1I(1.0),A,PC,DPR,QU1,F,TOTAL,CY,2014,7.5,
dataflow,ESTAT:HLTH_EHIS_MH1I(1.0),A,PC,DPR,QU1,F,TOTAL,CY,2019,5.9,
dataflow,ESTAT:HLTH_EHIS_MH1I(1.0),A,PC,DPR,QU1,F,TOTAL,CZ,2014,7.0,
dataflow,ESTAT:HLTH_EHIS_MH1I(1.0),A,PC,DPR,QU1,F,TOTAL,CZ,2019,8.0,
dataflow,ESTAT:HLTH_EHIS_MH1I(1.0),A,PC,DPR,QU1,F,TOTAL,DE,2014,13.8,
dataflow,ESTAT:HLTH_EHIS_MH1I(1.0),A,PC,DPR,QU1,F,TOTAL,DE,2019,16.6,
dataflow,ESTAT:HLTH_EHIS_MH1I(1.0),A,PC,DPR,QU1,F,TOTAL,DK,2014,10.4,
dataflow,ESTAT:HLTH_EHIS_MH1I(1.0),A,PC,DPR,QU1,F,TOTAL,DK,2019,16.2,
dataflow,ESTAT:HLTH_EHIS_MH1I(1.0),A,PC,DPR,QU1,F,TOTAL,EE,2014,12.9,
dataflow,ESTAT:HLTH_EHIS_MH1I(1.0),A,PC,DPR,QU1,F,TOTAL,EE,2019,16.2,
dataflow,ESTAT:HLTH_EHIS_MH1I(1.0),A,PC,DPR,QU1,F,TOTAL,EL,2014,5.3,
dataflow,ESTAT:HLTH_EHIS_MH1I(1.0),A,PC,DPR,QU1,F,TOTAL,EL,2019,6.4,
dataflow,ESTAT:HLTH_EHIS_MH1I(1.0),A,PC,DPR,QU1,F,TOTAL,ES,2014,12.9,
dataflow,ESTAT:HLTH_EHIS_MH1I(1.0),A,PC,DPR,QU1,F,TOTAL,ES,2019,7.9,
dataflow,ESTAT:HLTH_EHIS_MH1I(1.0),A,PC,DPR,QU1,F,TOTAL,EU27_2020,2014,11.4,
dataflow,ESTAT:HLTH_EHIS_MH1I(1.0),A,PC,DPR,QU1,F,TOTAL,EU27_2020,2019,12.9,
dataflow,ESTAT:HLTH_EHIS_MH1I(1.0),A,PC,DPR,QU1,F,TOTAL,EU28,2014,11.9,
dataflow,ESTAT:HLTH_EHIS_MH1I(1.0),A,PC,DPR,QU1,F,TOTAL,FI,2014,8.5,
dataflow,ESTAT:HLTH_EHIS_MH1I(1.0),A,PC,DPR,QU1,F,TOTAL,FI,2019,11.5,
dataflow,ESTAT:HLTH_EHIS_MH1I(1.0),A,PC,DPR,QU1,F,TOTAL,FR,2014,15.0,
dataflow,ESTAT:HLTH_EHIS_MH1I(1.0),A,PC,DPR,QU1,F,TOTAL,FR,2019,19.2,
dataflow,ESTAT:HLTH_EHIS_MH1I(1.0),A,PC,DPR,QU1,F,TOTAL,HR,2014,9.0,
dataflow,ESTAT:HLTH_EHIS_MH1I(1.0),A,PC,DPR,QU1,F,TOTAL,HR,2019,13.9,
dataflow,ESTAT:HLTH_EHIS_MH1I(1.0),A,PC,DPR,QU1,F,TOTAL,HU,2014,23.7,
dataflow,ESTAT:HLTH_EHIS_MH1I(1.0),A,PC,DPR,QU1,F,TOTAL,HU,2019,10.6,
dataflow,ESTAT:HLTH_EHIS_MH1I(1.0),A,PC,DPR,QU1,F,TOTAL,IE,2014,6.4,
