STRUCTURE,STRUCTURE_ID,freq,hlth_pb,sex,age,c_birth,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_MH1B(1.0),A,DPR,F,TOTAL,EU27_2020_FOR,PC,AT,2019,7.9,
dataflow,ESTAT:HLTH_EHIS_MH1B(1.0),A,DPR,F,TOTAL,EU27_2020_FOR,PC,BE,2019,13.2,u
dataflow,ESTAT:HLTH_EHIS_MH1B(1.0),A,DPR,F,TOTAL,EU27_2020_FOR,PC,BG,2019,,u
dataflow,ESTAT:HLTH_EHIS_MH1B(1.0),A,DPR,F,TOTAL,EU27_2020_FOR,PC,CY,2019,1.9,
dataflow,ESTAT:HLTH_EHIS_MH1B(1.0),A,DPR,F,TOTAL,EU27_2020_FOR,PC,CZ,2019,2.2,
dataflow,ESTAT:HLTH_EHIS_MH1B(1.0),A,DPR,F,TOTAL,EU27_2020_FOR,PC,DE,2019,13.8,
dataflow,ESTAT:HLTH_EHIS_MH1B(1.0),A,DPR,F,TOTAL,EU27_2020_FOR,PC,DK,2019,7.3,
dataflow,ESTAT:HLTH_EHIS_MH1B(1.0),A,DPR,F,TOTAL,EU27_2020_FOR,PC,EE,2019,19.4,u
dataflow,ESTAT:HLTH_EHIS_MH1B(1.0),A,DPR,F,TOTAL,EU27_2020_FOR,PC,EL,2019,1.5,
dataflow,ESTAT:HLTH_EHIS_MH1B(1.0),A,DPR,F,TOTAL,EU27_2020_FOR,PC,ES,2019,6.7,
dataflow,ESTAT:HLTH_EHIS_MH1B(1.0),A,DPR,F,TOTAL,EU27_2020_FOR,PC,EU27_2020,2019,10.1,
dataflow,ESTAT:HLTH_EHIS_MH1B(1.0),A,DPR,F,TOTAL,EU27_2020_FOR,PC,FI,2019,15.7,u
dataflow,ESTAT:HLTH_EHIS_MH1B(1.0),A,DPR,F,TOTAL,EU27_2020_FOR,PC,FR,2019,12.8,
dataflow,ESTAT:HLTH_EHIS_MH1B(1.0),A,DPR,F,TOTAL,EU27_2020_FOR,PC,HR,2019,12.4,u
dataflow,ESTAT:HLTH_EHIS_MH1B(1.0),A,DPR,F,TOTAL,EU27_2020_FOR,PC,HU,2019,1.7,
dataflow,ESTAT:HLTH_EHIS_MH1B(1.0),A,DPR,F,TOTAL,EU27_2020_FOR,PC,IE,2019,5.2,
dataflow,ESTAT:HLTH_EHIS_MH1B(1.0),A,DPR,F,TOTAL,EU27_2020_FOR,PC,IS,2019,0,
dataflow,ESTAT:HLTH_EHIS_MH1B(1.0),A,DPR,F,TOTAL,EU27_2020_FOR,PC,IT,2019,3.9,
dataflow,ESTAT:HLTH_EHIS_MH1B(1.0),A,DPR,F,TOTAL,EU27_2020_FOR,PC,LT,2019,8.7,u
dataflow,ESTAT:HLTH_EHIS_MH1B(1.0),A,DPR,F,TOTAL,EU27_2020_FOR,PC,LU,2019,8.6,
dataflow,ESTAT:HLTH_EHIS_MH1B(1.0),A,DPR,F,TOTAL,EU27_2020_FOR,PC,LV,2019,11.4,
dataflow,ESTAT:HLTH_EHIS_MH1B(1.0),A,DPR,F,TOTAL,EU27_2020_FOR,PC,MT,2019,17.8,u
dataflow,ESTAT:HLTH_EHIS_MH1B(1.0),A,DPR,F,TOTAL,EU27_2020_FOR,PC,NL,2019,10.7,
dataflow,ESTAT:HLTH_EHIS_MH1B(1.0),A,DPR,F,TOTAL,EU27_2020_FOR,PC,NO,2019,0,
