STRUCTURE,STRUCTURE_ID,freq,unit,duration,bmi,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,TOTAL,AT,2019,26.4,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,TOTAL,BE,2019,42.7,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,TOTAL,BG,2019,83.3,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,TOTAL,CY,2019,62.8,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,TOTAL,CZ,2019,46.7,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,TOTAL,DE,2019,21.8,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,TOTAL,DK,2019,10.7,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,TOTAL,EE,2019,39.3,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,TOTAL,EL,2019,62.7,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,TOTAL,ES,2019,44.6,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,TOTAL,EU27_2020,2019,44.5,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,TOTAL,FR,2019,46.1,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,TOTAL,HR,2019,56.1,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,TOTAL,HU,2019,34.9,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,TOTAL,IE,2019,36.0,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,TOTAL,IS,2019,19.3,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,TOTAL,IT,2019,63.3,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,TOTAL,LT,2019,54.8,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,TOTAL,LU,2019,27.2,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,TOTAL,LV,2019,45.7,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,TOTAL,MT,2019,66.1,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,TOTAL,NL,2019,18.6,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,TOTAL,NO,2019,14.1,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,TOTAL,PL,2019,54.5,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,TOTAL,PT,2019,62.4,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,TOTAL,RO,2019,88.6,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,TOTAL,RS,2019,69.7,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,TOTAL,SE,2019,18.2,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,TOTAL,SI,2019,40.3,u
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,TOTAL,SK,2019,45.5,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,TOTAL,TR,2019,90.9,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-24,AT,2019,18.5,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-24,BE,2019,29.6,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-24,BG,2019,64.4,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-24,CY,2019,63.9,
dataflow,ESTAT:HLTH_EHIS_PE2M(1.0),A,PC,MN0,BMI18P5-24,F,Y15-24,CZ,2019,29.2,
