STRUCTURE,STRUCTURE_ID,freq,sex,age,smoking,isced97,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_DE5(1.0),A,F,TOTAL,DSM_GE20,ED0-2,BE,2008,7.4,u
dataflow,ESTAT:HLTH_EHIS_DE5(1.0),A,F,TOTAL,DSM_GE20,ED0-2,BG,2008,3.2,
dataflow,ESTAT:HLTH_EHIS_DE5(1.0),A,F,TOTAL,DSM_GE20,ED0-2,CY,2008,3.5,
dataflow,ESTAT:HLTH_EHIS_DE5(1.0),A,F,TOTAL,DSM_GE20,ED0-2,CZ,2008,7.2,
dataflow,ESTAT:HLTH_EHIS_DE5(1.0),A,F,TOTAL,DSM_GE20,ED0-2,DE,2008,5.3,
dataflow,ESTAT:HLTH_EHIS_DE5(1.0),A,F,TOTAL,DSM_GE20,ED0-2,EE,2008,2.9,
dataflow,ESTAT:HLTH_EHIS_DE5(1.0),A,F,TOTAL,DSM_GE20,ED0-2,EL,2008,10.8,
dataflow,ESTAT:HLTH_EHIS_DE5(1.0),A,F,TOTAL,DSM_GE20,ED0-2,ES,2008,5.7,
dataflow,ESTAT:HLTH_EHIS_DE5(1.0),A,F,TOTAL,DSM_GE20,ED0-2,HU,2008,6.9,
dataflow,ESTAT:HLTH_EHIS_DE5(1.0),A,F,TOTAL,DSM_GE20,ED0-2,LV,2008,3,
dataflow,ESTAT:HLTH_EHIS_DE5(1.0),A,F,TOTAL,DSM_GE20,ED0-2,MT,2008,6.4,
dataflow,ESTAT:HLTH_EHIS_DE5(1.0),A,F,TOTAL,DSM_GE20,ED0-2,PL,2008,5.4,
dataflow,ESTAT:HLTH_EHIS_DE5(1.0),A,F,TOTAL,DSM_GE20,ED0-2,RO,2008,1.7,
dataflow,ESTAT:HLTH_EHIS_DE5(1.0),A,F,TOTAL,DSM_GE20,ED0-2,SI,2008,4.0,
dataflow,ESTAT:HLTH_EHIS_DE5(1.0),A,F,TOTAL,DSM_GE20,ED0-2,SK,2008,2.2,
dataflow,ESTAT:HLTH_EHIS_DE5(1.0),A,F,TOTAL,DSM_GE20,ED3_4,BE,2008,5.4,
dataflow,ESTAT:HLTH_EHIS_DE5(1.0),A,F,TOTAL,DSM_GE20,ED3_4,BG,2008,9,
dataflow,ESTAT:HLTH_EHIS_DE5(1.0),A,F,TOTAL,DSM_GE20,ED3_4,CY,2008,7.6,
dataflow,ESTAT:HLTH_EHIS_DE5(1.0),A,F,TOTAL,DSM_GE20,ED3_4,CZ,2008,3.8,
dataflow,ESTAT:HLTH_EHIS_DE5(1.0),A,F,TOTAL,DSM_GE20,ED3_4,DE,2008,4.9,
dataflow,ESTAT:HLTH_EHIS_DE5(1.0),A,F,TOTAL,DSM_GE20,ED3_4,EE,2008,2.9,
dataflow,ESTAT:HLTH_EHIS_DE5(1.0),A,F,TOTAL,DSM_GE20,ED3_4,EL,2008,17.2,
dataflow,ESTAT:HLTH_EHIS_DE5(1.0),A,F,TOTAL,DSM_GE20,ED3_4,ES,2008,6.4,
dataflow,ESTAT:HLTH_EHIS_DE5(1.0),A,F,TOTAL,DSM_GE20,ED3_4,HU,2008,6.7,
dataflow,ESTAT:HLTH_EHIS_DE5(1.0),A,F,TOTAL,DSM_GE20,ED3_4,LV,2008,2.3,
dataflow,ESTAT:HLTH_EHIS_DE5(1.0),A,F,TOTAL,DSM_GE20,ED3_4,MT,2008,6.1,
dataflow,ESTAT:HLTH_EHIS_DE5(1.0),A,F,TOTAL,DSM_GE20,ED3_4,PL,2008,7.8,
dataflow,ESTAT:HLTH_EHIS_DE5(1.0),A,F,TOTAL,DSM_GE20,ED3_4,RO,2008,3,
dataflow,ESTAT:HLTH_EHIS_DE5(1.0),A,F,TOTAL,DSM_GE20,ED3_4,SI,2008,5.4,
dataflow,ESTAT:HLTH_EHIS_DE5(1.0),A,F,TOTAL,DSM_GE20,ED3_4,SK,2008,1.6,
dataflow,ESTAT:HLTH_EHIS_DE5(1.0),A,F,TOTAL,DSM_GE20,ED5_6,BE,2008,3.5,
dataflow,ESTAT:HLTH_EHIS_DE5(1.0),A,F,TOTAL,DSM_GE20,ED5_6,BG,2008,7.1,
dataflow,ESTAT:HLTH_EHIS_DE5(1.0),A,F,TOTAL,DSM_GE20,ED5_6,CY,2008,5.4,
dataflow,ESTAT:HLTH_EHIS_DE5(1.0),A,F,TOTAL,DSM_GE20,ED5_6,CZ,2008,2.5,
dataflow,ESTAT:HLTH_EHIS_DE5(1.0),A,F,TOTAL,DSM_GE20,ED5_6,DE,2008,2.1,
dataflow,ESTAT:HLTH_EHIS_DE5(1.0),A,F,TOTAL,DSM_GE20,ED5_6,EE,2008,0.4,
dataflow,ESTAT:HLTH_EHIS_DE5(1.0),A,F,TOTAL,DSM_GE20,ED5_6,EL,2008,13.4,
dataflow,ESTAT:HLTH_EHIS_DE5(1.0),A,F,TOTAL,DSM_GE20,ED5_6,ES,2008,4.2,
dataflow,ESTAT:HLTH_EHIS_DE5(1.0),A,F,TOTAL,DSM_GE20,ED5_6,HU,2008,3.2,
