STRUCTURE,STRUCTURE_ID,freq,unit,severity,isco88,nace_r1,diagnose,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO0,L,MUSC_SKE,EU_V,1999,129,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO0,L,OTHER,EU_V,1999,176,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO0,L,STRESS,EU_V,1999,69,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO0,L,TOTAL,EU_V,1999,119,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO0,TOTAL,MUSC_SKE,EU_V,1999,129,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO0,TOTAL,OTHER,EU_V,1999,176,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO0,TOTAL,STRESS,EU_V,1999,69,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO0,TOTAL,TOTAL,EU_V,1999,119,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,A,OTHER,EU_V,1999,125,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,A,TOTAL,EU_V,1999,29,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,D,MUSC_SKE,EU_V,1999,27,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,D,OTHER,EU_V,1999,79,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,D,STRESS,EU_V,1999,103,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,D,TOTAL,EU_V,1999,57,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,E,TOTAL,EU_V,1999,168,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,F,MUSC_SKE,EU_V,1999,24,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,F,OTHER,EU_V,1999,13,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,F,STRESS,EU_V,1999,225,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,F,TOTAL,EU_V,1999,72,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,G,MUSC_SKE,EU_V,1999,55,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,G,OTHER,EU_V,1999,79,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,G,PULMONAR,EU_V,1999,85,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,G,STRESS,EU_V,1999,119,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,G,TOTAL,EU_V,1999,78,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,H,MUSC_SKE,EU_V,1999,41,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,H,OTHER,EU_V,1999,178,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,H,TOTAL,EU_V,1999,60,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,I,OTHER,EU_V,1999,22,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,I,STRESS,EU_V,1999,295,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,I,TOTAL,EU_V,1999,80,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,J,MUSC_SKE,EU_V,1999,31,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,J,OTHER,EU_V,1999,81,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,J,STRESS,EU_V,1999,100,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,J,TOTAL,EU_V,1999,59,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,K,MUSC_SKE,EU_V,1999,23,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,K,OTHER,EU_V,1999,88,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,K,PULMONAR,EU_V,1999,146,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,K,STRESS,EU_V,1999,43,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,K,TOTAL,EU_V,1999,49,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,L,MUSC_SKE,EU_V,1999,96,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,L,OTHER,EU_V,1999,136,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,L,PULMONAR,EU_V,1999,105,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,L,STRESS,EU_V,1999,352,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,L,TOTAL,EU_V,1999,171,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,M,MUSC_SKE,EU_V,1999,53,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,M,OTHER,EU_V,1999,130,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,M,STRESS,EU_V,1999,133,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,M,TOTAL,EU_V,1999,89,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,N,MUSC_SKE,EU_V,1999,125,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,N,OTHER,EU_V,1999,83,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,N,STRESS,EU_V,1999,190,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,N,TOTAL,EU_V,1999,126,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,O,MUSC_SKE,EU_V,1999,43,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,O,OTHER,EU_V,1999,138,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,O,STRESS,EU_V,1999,339,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,O,TOTAL,EU_V,1999,162,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,TOTAL,MUSC_SKE,EU_V,1999,41,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,TOTAL,OTHER,EU_V,1999,85,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,TOTAL,PULMONAR,EU_V,1999,65,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,TOTAL,STRESS,EU_V,1999,152,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO1,TOTAL,TOTAL,EU_V,1999,81,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,A,MUSC_SKE,EU_V,1999,154,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,A,TOTAL,EU_V,1999,187,
dataflow,ESTAT:HSW_HP_SVDIN(1.0),A,RT,D_GE14,ISCO2,D,MUSC_SKE,EU_V,1999,12,
