STRUCTURE,STRUCTURE_ID,freq,airpol,indic_he,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,AL,2005,6062,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,AL,2009,5138,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,AL,2014,3709,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,AL,2015,4674,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,AL,2016,4923,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,AL,2017,5263,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,AL,2018,4856,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,AL,2019,3975,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,AT,2005,7163,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,AT,2007,5413,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,AT,2008,5923,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,AT,2009,5823,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,AT,2010,6735,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,AT,2011,6718,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,AT,2012,5390,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,AT,2013,5852,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,AT,2014,4287,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,AT,2015,4897,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,AT,2016,3960,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,AT,2017,4229,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,AT,2018,5002,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,AT,2019,3679,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,AT,2020,3181,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,BA,2005,7271,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,BA,2009,6882,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,BA,2014,4560,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,BA,2015,5729,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,BA,2016,7515,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,BA,2017,6251,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,BA,2018,7093,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,BA,2019,5884,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,BE,2005,9325,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,BE,2007,7194,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,BE,2008,8629,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,BE,2009,9495,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,BE,2010,9828,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,BE,2011,9062,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,BE,2012,8129,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,BE,2013,8689,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,BE,2014,6257,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,BE,2015,6210,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,BE,2016,5772,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,BE,2017,5674,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,BE,2018,5883,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,BE,2019,4538,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,BE,2020,3927,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,BG,2005,19274,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,BG,2007,17303,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,BG,2008,19050,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,BG,2009,16161,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,BG,2010,15916,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,BG,2011,20002,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,BG,2012,16032,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,BG,2013,13609,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,BG,2014,14201,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,BG,2015,14669,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,BG,2016,13328,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,BG,2017,13123,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,BG,2018,12027,
dataflow,ESTAT:HLTH_CD_IAP(1.0),A,PM2_5,PMD,NR,BG,2019,9909,
