STRUCTURE,STRUCTURE_ID,freq,unit,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,AT,2007,0.3,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,AT,2013,0.3,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,AT,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,BE,2007,0.4,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,BE,2013,0.4,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,BE,2020,0.2,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,BG,2007,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,BG,2013,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,BG,2020,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,CH,2013,0.4,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,CH,2020,0.2,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,CY,2007,0.3,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,CY,2013,0.2,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,CY,2020,0.4,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,CZ,2007,0.2,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,CZ,2013,0.1,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,CZ,2020,0.3,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,DE,2007,0.4,
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,DE,2013,,u
dataflow,ESTAT:HSW_AC4(1.0),A,PC_EMP_PREEMP_M12,Y15-64,DE,2020,0.2,u
