STRUCTURE,STRUCTURE_ID,freq,unit,n_portion,sex,age,bmi,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_FV3M(1.0),A,PC,0,F,TOTAL,BMI18P5-24,AT,2019,25.9,
dataflow,ESTAT:HLTH_EHIS_FV3M(1.0),A,PC,0,F,TOTAL,BMI18P5-24,BE,2019,12.5,
dataflow,ESTAT:HLTH_EHIS_FV3M(1.0),A,PC,0,F,TOTAL,BMI18P5-24,BG,2019,46.7,
dataflow,ESTAT:HLTH_EHIS_FV3M(1.0),A,PC,0,F,TOTAL,BMI18P5-24,CY,2019,30.4,
dataflow,ESTAT:HLTH_EHIS_FV3M(1.0),A,PC,0,F,TOTAL,BMI18P5-24,CZ,2019,39.4,
dataflow,ESTAT:HLTH_EHIS_FV3M(1.0),A,PC,0,F,TOTAL,BMI18P5-24,DE,2019,21.8,
dataflow,ESTAT:HLTH_EHIS_FV3M(1.0),A,PC,0,F,TOTAL,BMI18P5-24,DK,2019,26.9,
dataflow,ESTAT:HLTH_EHIS_FV3M(1.0),A,PC,0,F,TOTAL,BMI18P5-24,EE,2019,33.1,
dataflow,ESTAT:HLTH_EHIS_FV3M(1.0),A,PC,0,F,TOTAL,BMI18P5-24,EL,2019,24.9,
dataflow,ESTAT:HLTH_EHIS_FV3M(1.0),A,PC,0,F,TOTAL,BMI18P5-24,ES,2019,19.5,
dataflow,ESTAT:HLTH_EHIS_FV3M(1.0),A,PC,0,F,TOTAL,BMI18P5-24,EU27_2020,2019,26.4,
dataflow,ESTAT:HLTH_EHIS_FV3M(1.0),A,PC,0,F,TOTAL,BMI18P5-24,FI,2019,27.3,
dataflow,ESTAT:HLTH_EHIS_FV3M(1.0),A,PC,0,F,TOTAL,BMI18P5-24,FR,2019,20.6,
dataflow,ESTAT:HLTH_EHIS_FV3M(1.0),A,PC,0,F,TOTAL,BMI18P5-24,HR,2019,27.2,
dataflow,ESTAT:HLTH_EHIS_FV3M(1.0),A,PC,0,F,TOTAL,BMI18P5-24,HU,2019,32.3,
dataflow,ESTAT:HLTH_EHIS_FV3M(1.0),A,PC,0,F,TOTAL,BMI18P5-24,IE,2019,13.2,
dataflow,ESTAT:HLTH_EHIS_FV3M(1.0),A,PC,0,F,TOTAL,BMI18P5-24,IS,2019,22.8,
