STRUCTURE,STRUCTURE_ID,freq,unit,yes_no,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y55-64,AT,2019,91.2,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y55-64,BE,2019,89.0,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y55-64,BG,2019,89.6,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y55-64,CY,2019,88.7,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y55-64,CZ,2019,88.1,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y55-64,DE,2019,91.6,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y55-64,DK,2019,90.6,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y55-64,EE,2019,84.9,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y55-64,EL,2019,92.8,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y55-64,ES,2019,89.2,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y55-64,EU27_2020,2019,89.1,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y55-64,FI,2019,92.9,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y55-64,FR,2019,89.1,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y55-64,HR,2019,90.9,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y55-64,HU,2019,91.5,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y55-64,IE,2019,90.7,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y55-64,IS,2019,89.5,
dataflow,ESTAT:HLTH_EHIS_TADLE(1.0),A,PC,NO_SDIF,F,Y55-64,IT,2019,93.0,
