STRUCTURE,STRUCTURE_ID,freq,unit,isced11,hlth_pb,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,AT,2014,7.5,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,AT,2019,10.9,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,BE,2019,14.6,u
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,BG,2014,14.2,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,BG,2019,9.9,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,CY,2014,10.2,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,CY,2019,7.1,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,CZ,2014,8.7,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,CZ,2019,6.7,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,DE,2014,12.5,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,DE,2019,14.8,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,DK,2014,14.9,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,DK,2019,16.0,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,EE,2014,15.4,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,EE,2019,15.2,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,EL,2014,8.1,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,EL,2019,6.1,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,ES,2014,12.7,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,ES,2019,8.8,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,EU27_2020,2014,11.5,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,EU27_2020,2019,11.7,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,EU28,2014,11.7,e
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,FI,2014,4.9,u
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,FI,2019,11.5,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,FR,2014,13.7,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,FR,2019,15.4,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,HR,2014,7.1,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,HR,2019,16.1,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,HU,2014,23.4,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,HU,2019,13.3,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,IE,2014,9.7,u
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,IE,2019,8.2,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,IS,2014,16.7,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,IS,2019,11.6,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,IT,2014,7.8,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,IT,2019,7.4,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,LT,2014,10.8,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,LT,2019,11.8,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,LU,2014,9.0,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,LU,2019,15.1,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,LV,2014,7.3,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,LV,2019,10.8,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,MT,2014,8.3,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,MT,2019,13.7,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,NL,2019,10.9,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,NO,2014,13.0,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,NO,2019,11.7,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,PL,2014,10.4,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,PL,2019,10.8,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,PT,2014,17.9,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,PT,2019,14.4,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,RO,2014,9.3,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,RO,2019,8.8,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,RS,2019,4.8,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,SE,2014,15.5,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,SE,2019,13.0,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,SI,2014,7.6,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,SI,2019,14.2,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,SK,2014,8.2,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,SK,2019,7.6,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,TR,2014,8.2,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,TR,2019,9.5,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,TOTAL,UK,2014,12.8,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-19,AT,2014,6.6,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-19,BG,2014,4.1,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-19,CY,2014,0,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-19,CZ,2014,0.8,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-19,DE,2014,16.1,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-19,DK,2014,20.5,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-19,EE,2014,11.9,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-19,EL,2014,0,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-19,ES,2014,2.1,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-19,EU28,2014,6.6,e
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-19,FI,2014,5.4,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-19,FR,2014,4.5,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-19,HR,2014,0,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-19,HU,2014,6.0,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-19,IE,2014,11.0,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-19,IS,2014,19.9,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-19,IT,2014,3.8,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-19,LT,2014,0,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-19,LU,2014,12.0,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-19,LV,2014,4.0,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-19,MT,2014,6.7,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-19,NO,2014,10.7,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-19,PL,2014,2.7,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-19,PT,2014,2.3,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-19,RO,2014,2.1,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-19,SE,2014,15.6,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-19,SI,2014,9.5,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-19,SK,2014,0,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-19,TR,2014,3.9,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-19,UK,2014,10.9,u
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,AT,2014,7.0,
dataflow,ESTAT:HLTH_EHIS_MH1E(1.0),A,PC,ED0-2,DPR,F,Y15-24,AT,2019,5.6,
