STRUCTURE,STRUCTURE_ID,freq,unit,sex,icd10,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,AT,2020,26,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,AT,2021,22,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,BG,2015,43,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,BG,2020,28,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,CH,2011,17,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,CH,2012,27,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,CH,2013,27,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,CH,2014,19,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,CH,2015,18,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,CH,2016,20,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,CH,2017,22,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,CH,2019,12,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,CH,2020,15,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,CH,2021,9,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,CY,2017,0,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,CY,2018,0,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,CY,2019,0,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,CY,2020,0,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,CY,2021,0,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,CZ,2011,34,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,CZ,2012,33,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,CZ,2013,7,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,CZ,2014,10,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,CZ,2015,2,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,CZ,2016,4,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,CZ,2017,6,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,CZ,2018,6,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,CZ,2019,4,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,CZ,2020,3,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,CZ,2021,3,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,DE,2011,254,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,DE,2012,228,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,DE,2013,206,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,DE,2014,192,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,DE,2015,208,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,DE,2016,197,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,DE,2017,189,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,DE,2018,211,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,DE,2019,204,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,DE,2020,173,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,DE,2021,179,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,DK,2011,2,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,DK,2012,4,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,DK,2013,3,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,DK,2014,3,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,DK,2015,3,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,DK,2016,3,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,DK,2017,2,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,DK,2018,3,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,DK,2019,5,
dataflow,ESTAT:HLTH_CD_TRO(1.0),A,NR,F,ACC_TRA_OTH,DK,2020,5,
