STRUCTURE,STRUCTURE_ID,freq,icha_hp,facility,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_CO_EXAM(1.0),A,HP1,CT_SCAN,NR,AT,2004,769642.00,
dataflow,ESTAT:HLTH_CO_EXAM(1.0),A,HP1,CT_SCAN,NR,AT,2005,791670.00,
dataflow,ESTAT:HLTH_CO_EXAM(1.0),A,HP1,CT_SCAN,NR,AT,2006,872295.00,
dataflow,ESTAT:HLTH_CO_EXAM(1.0),A,HP1,CT_SCAN,NR,AT,2007,972551.00,
dataflow,ESTAT:HLTH_CO_EXAM(1.0),A,HP1,CT_SCAN,NR,AT,2008,1060272.00,
dataflow,ESTAT:HLTH_CO_EXAM(1.0),A,HP1,CT_SCAN,NR,AT,2009,1161446.00,
dataflow,ESTAT:HLTH_CO_EXAM(1.0),A,HP1,CT_SCAN,NR,AT,2010,1220761.00,
dataflow,ESTAT:HLTH_CO_EXAM(1.0),A,HP1,CT_SCAN,NR,AT,2011,1095220.00,
dataflow,ESTAT:HLTH_CO_EXAM(1.0),A,HP1,CT_SCAN,NR,AT,2012,1124707.00,
dataflow,ESTAT:HLTH_CO_EXAM(1.0),A,HP1,CT_SCAN,NR,AT,2013,1132961.00,
dataflow,ESTAT:HLTH_CO_EXAM(1.0),A,HP1,CT_SCAN,NR,AT,2014,1228821.00,
dataflow,ESTAT:HLTH_CO_EXAM(1.0),A,HP1,CT_SCAN,NR,AT,2015,1206386,b
dataflow,ESTAT:HLTH_CO_EXAM(1.0),A,HP1,CT_SCAN,NR,AT,2016,1192506.00,
dataflow,ESTAT:HLTH_CO_EXAM(1.0),A,HP1,CT_SCAN,NR,AT,2017,1166043.00,
dataflow,ESTAT:HLTH_CO_EXAM(1.0),A,HP1,CT_SCAN,NR,AT,2018,1235694.00,
dataflow,ESTAT:HLTH_CO_EXAM(1.0),A,HP1,CT_SCAN,NR,AT,2019,1315234.00,
dataflow,ESTAT:HLTH_CO_EXAM(1.0),A,HP1,CT_SCAN,NR,AT,2020,1186972.00,
dataflow,ESTAT:HLTH_CO_EXAM(1.0),A,HP1,CT_SCAN,NR,AT,2021,1265251.00,
dataflow,ESTAT:HLTH_CO_EXAM(1.0),A,HP1,CT_SCAN,NR,BE,1999,1231332.00,
dataflow,ESTAT:HLTH_CO_EXAM(1.0),A,HP1,CT_SCAN,NR,BE,2000,1180692.00,
dataflow,ESTAT:HLTH_CO_EXAM(1.0),A,HP1,CT_SCAN,NR,BE,2001,1214903.00,
dataflow,ESTAT:HLTH_CO_EXAM(1.0),A,HP1,CT_SCAN,NR,BE,2002,1239936.00,
dataflow,ESTAT:HLTH_CO_EXAM(1.0),A,HP1,CT_SCAN,NR,BE,2003,1323664.00,
dataflow,ESTAT:HLTH_CO_EXAM(1.0),A,HP1,CT_SCAN,NR,BE,2004,1438234.00,
dataflow,ESTAT:HLTH_CO_EXAM(1.0),A,HP1,CT_SCAN,NR,BE,2005,1540919.00,
dataflow,ESTAT:HLTH_CO_EXAM(1.0),A,HP1,CT_SCAN,NR,BE,2006,1658614.00,
dataflow,ESTAT:HLTH_CO_EXAM(1.0),A,HP1,CT_SCAN,NR,BE,2007,1783757.00,
dataflow,ESTAT:HLTH_CO_EXAM(1.0),A,HP1,CT_SCAN,NR,BE,2008,1925468.00,
dataflow,ESTAT:HLTH_CO_EXAM(1.0),A,HP1,CT_SCAN,NR,BE,2009,2004329.00,
dataflow,ESTAT:HLTH_CO_EXAM(1.0),A,HP1,CT_SCAN,NR,BE,2010,2044894.00,
dataflow,ESTAT:HLTH_CO_EXAM(1.0),A,HP1,CT_SCAN,NR,BE,2011,2035905.00,
dataflow,ESTAT:HLTH_CO_EXAM(1.0),A,HP1,CT_SCAN,NR,BE,2012,2075328.00,
dataflow,ESTAT:HLTH_CO_EXAM(1.0),A,HP1,CT_SCAN,NR,BE,2013,2078720.00,
dataflow,ESTAT:HLTH_CO_EXAM(1.0),A,HP1,CT_SCAN,NR,BE,2014,2163932.00,
dataflow,ESTAT:HLTH_CO_EXAM(1.0),A,HP1,CT_SCAN,NR,BE,2015,2237351.00,
dataflow,ESTAT:HLTH_CO_EXAM(1.0),A,HP1,CT_SCAN,NR,BE,2016,2262548.00,
dataflow,ESTAT:HLTH_CO_EXAM(1.0),A,HP1,CT_SCAN,NR,BE,2017,2281227.00,
dataflow,ESTAT:HLTH_CO_EXAM(1.0),A,HP1,CT_SCAN,NR,BE,2018,2307172.00,
dataflow,ESTAT:HLTH_CO_EXAM(1.0),A,HP1,CT_SCAN,NR,BE,2019,2353696.00,
dataflow,ESTAT:HLTH_CO_EXAM(1.0),A,HP1,CT_SCAN,NR,BE,2020,2365903.00,
