STRUCTURE,STRUCTURE_ID,freq,unit,duration,sex,age,deg_urb,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,AT,2014,64.8,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,AT,2019,63.8,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,BE,2014,82.5,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,BE,2019,81.4,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,BG,2014,97.3,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,BG,2019,96.9,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,CY,2014,89.4,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,CY,2019,87.1,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,CZ,2014,78.6,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,CZ,2019,76.1,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,DE,2014,61.5,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,DE,2019,58.7,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,DK,2014,77.8,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,DK,2019,74.2,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,EE,2014,87.1,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,EE,2019,79.2,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,EL,2014,87.1,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,EL,2019,83.9,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,ES,2014,86.5,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,ES,2019,84.0,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,EU27_2020,2014,79.2,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,EU27_2020,2019,77.2,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,EU28,2014,80.1,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,FI,2014,79.1,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,FI,2019,80.9,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,FR,2014,73.4,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,FR,2019,77.9,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,HR,2014,87.9,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,HR,2019,82.8,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,HU,2014,84.7,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,HU,2019,82.4,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,IE,2014,74.7,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,IE,2019,77.9,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,IS,2014,70.5,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,IS,2019,60.9,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,IT,2014,83.8,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,IT,2019,82.1,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,LT,2014,86.1,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,LT,2019,71.3,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,LU,2014,70.4,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,LU,2019,68.6,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,LV,2014,87.3,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,LV,2019,83.2,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,MT,2014,92.3,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,MT,2019,86.2,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,NL,2014,83.7,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,NL,2019,80.2,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,NO,2014,85.6,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,NO,2019,81.0,d
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,PL,2014,86.8,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,PL,2019,82.0,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,PT,2014,76.2,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,PT,2019,69.9,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,RO,2014,96.6,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,RO,2019,95.6,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,RS,2019,0,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,SE,2014,80.4,
dataflow,ESTAT:HLTH_EHIS_PA6U(1.0),A,PC,NEV,F,TOTAL,DEG1,SE,2019,78.3,
