STRUCTURE,STRUCTURE_ID,freq,duration,deg_urb,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_PA7U(1.0),A,NEV,DEG1,TOTAL,PC,AT,2014,33.8,
dataflow,ESTAT:HLTH_EHIS_PA7U(1.0),A,NEV,DEG1,TOTAL,PC,AT,2019,39.4,
dataflow,ESTAT:HLTH_EHIS_PA7U(1.0),A,NEV,DEG1,TOTAL,PC,BE,2014,39.5,u
dataflow,ESTAT:HLTH_EHIS_PA7U(1.0),A,NEV,DEG1,TOTAL,PC,BE,2019,44.8,
dataflow,ESTAT:HLTH_EHIS_PA7U(1.0),A,NEV,DEG1,TOTAL,PC,BG,2014,43.2,
dataflow,ESTAT:HLTH_EHIS_PA7U(1.0),A,NEV,DEG1,TOTAL,PC,BG,2019,37.6,
dataflow,ESTAT:HLTH_EHIS_PA7U(1.0),A,NEV,DEG1,TOTAL,PC,CY,2014,54.8,
dataflow,ESTAT:HLTH_EHIS_PA7U(1.0),A,NEV,DEG1,TOTAL,PC,CY,2019,49.1,
dataflow,ESTAT:HLTH_EHIS_PA7U(1.0),A,NEV,DEG1,TOTAL,PC,CZ,2014,36.6,
dataflow,ESTAT:HLTH_EHIS_PA7U(1.0),A,NEV,DEG1,TOTAL,PC,CZ,2019,36.4,
dataflow,ESTAT:HLTH_EHIS_PA7U(1.0),A,NEV,DEG1,TOTAL,PC,DE,2014,45.8,
dataflow,ESTAT:HLTH_EHIS_PA7U(1.0),A,NEV,DEG1,TOTAL,PC,DE,2019,45.2,
dataflow,ESTAT:HLTH_EHIS_PA7U(1.0),A,NEV,DEG1,TOTAL,PC,DK,2014,54.1,
dataflow,ESTAT:HLTH_EHIS_PA7U(1.0),A,NEV,DEG1,TOTAL,PC,DK,2019,52.0,
dataflow,ESTAT:HLTH_EHIS_PA7U(1.0),A,NEV,DEG1,TOTAL,PC,EE,2014,53.9,
dataflow,ESTAT:HLTH_EHIS_PA7U(1.0),A,NEV,DEG1,TOTAL,PC,EE,2019,43.6,
