STRUCTURE,STRUCTURE_ID,freq,unit,sex,age,lev_diff,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,LTD,AT,2019,3.7,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,LTD,BE,2019,24.5,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,LTD,BG,2019,3.6,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,LTD,CY,2019,5.2,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,LTD,CZ,2019,2.7,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,LTD,DE,2019,10.7,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,LTD,DK,2019,8.7,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,LTD,EE,2019,3.9,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,LTD,EL,2019,7.2,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,LTD,ES,2019,7.4,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,LTD,EU27_2020,2019,7.7,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,LTD,FI,2019,1.9,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,LTD,FR,2019,14.8,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,LTD,HR,2019,5.0,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,LTD,HU,2019,4.4,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,LTD,IE,2019,8.2,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,LTD,IT,2019,5.8,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,LTD,LT,2019,1.3,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,LTD,LU,2019,12.6,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,LTD,LV,2019,1.7,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,LTD,MT,2019,7.4,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,LTD,NL,2019,9.4,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,LTD,NO,2019,3.9,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,LTD,PL,2019,3.5,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,LTD,PT,2019,1.4,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,LTD,RO,2019,1.1,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,LTD,RS,2019,2.1,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,LTD,SE,2019,4.7,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,LTD,SI,2019,3.4,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,LTD,SK,2019,3.6,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,LTD,TR,2019,1.7,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,MOD,AT,2019,0.2,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,MOD,BE,2019,19.8,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,MOD,BG,2019,0.8,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,MOD,CY,2019,2.5,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,MOD,CZ,2019,0,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,MOD,DE,2019,3.7,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,MOD,DK,2019,3.4,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,MOD,EE,2019,,u
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,MOD,EL,2019,0.5,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,MOD,ES,2019,2.5,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,MOD,EU27_2020,2019,3.2,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,MOD,FI,2019,1.7,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,MOD,FR,2019,7.8,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,MOD,HR,2019,1.7,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,MOD,HU,2019,3.1,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,MOD,IE,2019,4.2,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,MOD,IT,2019,1.3,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,MOD,LT,2019,0.5,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,MOD,LU,2019,8.0,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,MOD,LV,2019,0,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,MOD,MT,2019,6.3,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,MOD,NL,2019,2.6,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,MOD,NO,2019,1.9,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,MOD,PL,2019,1.2,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,MOD,PT,2019,0.4,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,MOD,RO,2019,0.9,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,MOD,RS,2019,0.4,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,MOD,SE,2019,3.0,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,MOD,SI,2019,0,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,MOD,SK,2019,2.1,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,MOD,TR,2019,1.1,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,NONE,AT,2019,0,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,NONE,BE,2019,5.7,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,NONE,BG,2019,0.7,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,NONE,CY,2019,0.1,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,NONE,CZ,2019,0,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,NONE,DE,2019,0.3,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,NONE,DK,2019,0.8,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,NONE,EE,2019,0.9,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,NONE,EL,2019,2.0,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,NONE,ES,2019,0.9,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,NONE,EU27_2020,2019,1.2,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,NONE,FI,2019,0.5,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,NONE,FR,2019,3.6,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,NONE,HR,2019,1.3,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,NONE,HU,2019,0.8,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,NONE,IE,2019,1.2,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,NONE,IT,2019,0.8,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,NONE,LT,2019,0.4,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,NONE,LU,2019,2.1,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,NONE,LV,2019,0,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,NONE,MT,2019,1.3,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,NONE,NL,2019,1.1,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,NONE,NO,2019,1.9,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,NONE,PL,2019,0.8,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,NONE,PT,2019,1.2,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,NONE,RO,2019,0,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,NONE,RS,2019,0.8,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,NONE,SE,2019,0.4,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,NONE,SI,2019,0.1,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,NONE,SK,2019,0,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,NONE,TR,2019,0,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,SEV,AT,2019,8.9,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,SEV,BE,2019,29.7,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,SEV,BG,2019,7.2,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,SEV,CY,2019,9.4,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,SEV,CZ,2019,8.5,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,SEV,DE,2019,30.3,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,SEV,DK,2019,16.1,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,SEV,EE,2019,4.8,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,SEV,EL,2019,19.7,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,SEV,ES,2019,10.9,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,SEV,EU27_2020,2019,15.2,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,SEV,FI,2019,2.4,u
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,SEV,FR,2019,25.7,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,SEV,HR,2019,12.0,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,SEV,HU,2019,7.9,u
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,SEV,IE,2019,13.7,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,SEV,IT,2019,13.5,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,SEV,LT,2019,3.0,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,SEV,LU,2019,27.6,u
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,SEV,LV,2019,4.5,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,SEV,MT,2019,9.7,u
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,SEV,NL,2019,19.1,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,SEV,NO,2019,8.5,u
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,SEV,PL,2019,9.6,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,SEV,PT,2019,2.6,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,SEV,RO,2019,1.2,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,SEV,RS,2019,4.4,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,SEV,SE,2019,9.6,u
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,SEV,SI,2019,7.2,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,SEV,SK,2019,6.2,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y55-64,SEV,TR,2019,2.1,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,AT,2014,6.2,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,AT,2019,6.7,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,BE,2014,37.7,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,BE,2019,33.5,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,BG,2014,8.0,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,BG,2019,5.4,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,CY,2014,5.3,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,CY,2019,4.2,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,CZ,2014,4.4,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,CZ,2019,2.5,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,DE,2014,7.3,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,DE,2019,14.0,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,DK,2014,23.2,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,DK,2019,14.1,
dataflow,ESTAT:HLTH_EHIS_AM7TA(1.0),A,PC,F,Y65-74,LTD,EE,2014,11.0,
