STRUCTURE,STRUCTURE_ID,freq,unit,age,severity,wstatus,diagnose,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D1-3,EMP,CARDIO_V,EU_V,1999,6325,
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D1-3,EMP,HEAD_EYE,EU_V,1999,22558,
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D1-3,EMP,HEARING,EU_V,1999,4222,
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D1-3,EMP,INFECTIO,EU_V,1999,19553,
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D1-3,EMP,MUSC_SKE,EU_V,1999,131855,
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D1-3,EMP,OTHER,EU_V,1999,20665,
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D1-3,EMP,PULMONAR,EU_V,1999,25170,
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D1-3,EMP,SKIN_DIS,EU_V,1999,8961,
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D1-3,EMP,STRESS,EU_V,1999,59190,
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D1-3,EMP,TOTAL,EU_V,1999,305371,
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D1-3,EMP,UNK,EU_V,1999,6872,
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D1-3,EMP_W,CARDIO_V,EU_V,1999,6487,
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D1-3,EMP_W,HEAD_EYE,EU_V,1999,22649,
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D1-3,EMP_W,HEARING,EU_V,1999,4222,
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D1-3,EMP_W,INFECTIO,EU_V,1999,19553,
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D1-3,EMP_W,MUSC_SKE,EU_V,1999,135582,
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D1-3,EMP_W,OTHER,EU_V,1999,21916,
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D1-3,EMP_W,PULMONAR,EU_V,1999,27173,
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D1-3,EMP_W,SKIN_DIS,EU_V,1999,9419,
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D1-3,EMP_W,STRESS,EU_V,1999,60705,
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D1-3,EMP_W,TOTAL,EU_V,1999,314918,
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D1-3,EMP_W,UNK,EU_V,1999,7211,
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D1-3,INAC,CARDIO_V,EU_V,1999,0,
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D1-3,INAC,HEAD_EYE,EU_V,1999,0,
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D1-3,INAC,HEARING,EU_V,1999,0,
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D1-3,INAC,INFECTIO,EU_V,1999,0,
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D1-3,INAC,MUSC_SKE,EU_V,1999,0,
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D1-3,INAC,OTHER,EU_V,1999,0,
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D1-3,INAC,PULMONAR,EU_V,1999,0,
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D1-3,INAC,SKIN_DIS,EU_V,1999,0,
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D1-3,INAC,STRESS,EU_V,1999,0,
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D1-3,INAC,TOTAL,EU_V,1999,0,
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D1-3,INAC,UNK,EU_V,1999,0,
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D1-3,UNE,CARDIO_V,EU_V,1999,162,
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D1-3,UNE,HEAD_EYE,EU_V,1999,91,
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D1-3,UNE,HEARING,EU_V,1999,0,
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D1-3,UNE,INFECTIO,EU_V,1999,0,
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D1-3,UNE,MUSC_SKE,EU_V,1999,3727,
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D1-3,UNE,OTHER,EU_V,1999,1251,
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D1-3,UNE,PULMONAR,EU_V,1999,2003,
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D1-3,UNE,SKIN_DIS,EU_V,1999,459,
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D1-3,UNE,STRESS,EU_V,1999,1515,
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D1-3,UNE,TOTAL,EU_V,1999,9547,
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D1-3,UNE,UNK,EU_V,1999,339,
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D14-29,EMP,CARDIO_V,EU_V,1999,13911,
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D14-29,EMP,HEAD_EYE,EU_V,1999,6784,
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D14-29,EMP,HEARING,EU_V,1999,7885,
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D14-29,EMP,INFECTIO,EU_V,1999,17088,
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D14-29,EMP,MUSC_SKE,EU_V,1999,192078,
dataflow,ESTAT:HSW_HP_SVDWA(1.0),A,NR,TOTAL,D14-29,EMP,OTHER,EU_V,1999,29159,
